Everyone but Trump
Counts of Adjectives
Word	Count
autistic	1
clever	1
sicker	2
fond	1
stuck	1
arbitrary	2
continuous	1
transcontinental	1
undiminished	1
Natural	1
conceivable	1
imaginary	1
sketchy	1
4-percent	1
cervical	1
level	2
protectionist	2
miserable	1
——all	1
entangled	1
indispensible	1
rewarding	2
underwater	1
volatile	1
nonstate	1
painstaking	1
meticulous	1
murderous	1
weakest	1
unbreakable	1
poll	1
posttraumatic	1
vigilant	2
20-billion	1
Quite	1
pink	1
unpaid	1
Simultaneous	1
appalling	1
junior	2
random	1
minor	1
variable	1
scary	1
harsher	1
tiered	1
ol'	1
swift	3
tense	2
gold	2
nonsense	1
outdated	2
Excellent	1
cutting	1
ravenous	1
lawful	2
measured	1
lead	1
proportionate	1
poisonous	1
15-year	1
36th	1
undue	1
nearest	1
convoluted	1
50th	3
enlisted	1
stiff	1
fallow	1
deceptive	1
idealistic	1
apt	1
brittle	1
proposed	1
Highest	1
horrendous	1
reticent	1
maximalist	1
pejorative	1
grandiose	1
questionable	1
split	1
civic	1
49th	2
north	1
polar	2
smoggiest	1
potent	1
unpredictable	1
uninspected	1
Prescription	1
17-percent	1
30-second	1
undone	2
loving	1
roughest	1
colossal	1
mind—	1
exposed	1
unlistened	1
whole—[inaudible	1
statesmanlike	1
not—	1
Sad	1
Best	1
revealing	1
cornered	3
French	2
proliferation—	1
600-plus	1
unsecured	2
9/11	1
proof	1
procedural	1
bogus	1
solitary	1
unpatriotic	2
half-	1
manmade	3
abject	3
bizarre	2
unitary	1
isolated	2
pass-	1
leaner	1
Enough	2
forcible	1
scurrilous	1
slipshod	1
appealing	1
even	2
cut	1
dirtiest	1
noncommunist	1
centralized	1
endive	2
S02	1
forgiving	1
firsthand	3
uncalled	1
unrequested	1
maternal	1
Important	1
Bigger	1
economy-	1
Defensive	1
24-hour	3
English	1
6ty	1
intrigued	1
intolerant	2
righteous	1
following	1
marine	1
befuddled	1
pluralistic	2
100th	1
concise	1
saner	1
migrant	2
tenuous	2
rosy	1
demeaning	1
plastic	1
striking	1
startling	1
supervisory	2
meritorious	1
defective	1
